,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS
State requires elementary students to take physical education2,x,,,x,x,,x,x,x,x,x,x,x,x,x,x,
State requires middle school/junior high school students to take physical education3,x,,,x,x,,x,x,x,x,,,x,x,x,x,
State requires high school students to take physical education and/or to earn physical education credit for graduation4,x,,,x,x,,x,x,x,x,x,x,,x,x,x,x
State has requirement for minutes/ week that elementary students must participate in physical education5,x,,,x,x,,,x,,x,x,x,,,,,
State has requirement for minutes/week that middle school/junior high students must participate in physical education6,x,,,x,x,,,x,,,,,,,,,
State has requirement for minutes/ week that high school students must participate in physical education7,,,,,x,,,,,,,x,,,,x,
"State has additional funding available (beyond general education funding, special appropriation, or school district appropriations) for physical education programs8",,,,,x,x,x,x,,,,x,,,,,
State does not permit schools/districts to apply for a waiver from the state physical education requirements and does not allow students to apply for an exemption from required physical education participation or credit,,,,,,x,x,x,,x,,,x,,x,,
State does not permit school districts or schools to allow students to substitute other activities for required physical education credit10,,,,x,,x,x,x,x,,,x,,,,,x
State prohibits schools/districts from withholding physical activity as a punishment for students11,x,,,,x,x,x,x,,,,x,,,,,
State prohibits schools/districts from using physical activity as a form of punishment for students12,x,,,x,x,,x,x,x,,,x,,,,,
State has adopted standards for physical education13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x
State requires student assessment in physical education or student physical fitness assessment14,x,,,,x,x,x,x,x,x,x,x,,,,,
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the elementary level15,x,,,x,x,,x,x,x,,,x,,x,x,x,x
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the middle school/junior high level16,x,,x,x,x,,x,x,x,,x,x,,x,x,x,x
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the high school level17,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x
