,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WV,WI,WY,Total
State requires elementary students to take physical education,x,,x,x,x,x,x,,x,x,,x,x,x,x,x,x,39
State requires middle school/junior high school students to take physical education,x,,,x,x,x,x,,x,x,x,x,x,x,x,x,x,37
State requires high school students to take physical education and/or to earn physical education credit for graduation,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,44
State has requirement for minutes/ week that elementary students must participate in physical education,x,,x,x,,x,x,,,,,,,x,x,,,19
State has requirement for minutes/week that middle school/junior high students must participate in physical education,x,,,x,,x,,,,,,,,x,x,,,15
State has requirement for minutes/ week that high school students must participate in physical education,,,,,,x,,,,,,,,,,,,6
"State has additional funding available (beyond general education funding, special appropriation, or school district appropriations) for physical education programs",,,,,x,,x,,x,,,,x,x,,x,,15
State does not permit schools/districts to apply for a waiver from the state physical education requirements and does not allow students to apply for an exemption from required physical education participation or credit,,,x,x,,,,x,x,,,x,,,x,,x,17
State does not permit school districts or schools to allow students to substitute other activities for required physical education credit,x,x,,,x,x,,x,,,,x,,,,,,19
State prohibits schools/districts from withholding physical activity as a punishment for students,,,,,,,,,,,,,,,,,,10
State prohibits schools/districts from using physical activity as a form of punishment for students,,,,x,,,,,,,,,,,x,,,13
State has adopted standards for physical education,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,50
State requires student assessment in physical education or student physical fitness assessment,,x,,x,x,x,x,,x,x,,x,x,x,x,x,,28
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the elementary level,x,x,x,,x,x,x,x,x,,,x,x,,x,,x,35
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the middle school/junior high level,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x,43
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the high school level,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,48
